link,ph 1,ph2,ph3,ph4,ph5
https://bacdive.dsmz.de/strain/4150,"('Ref.: #23212', 'growth', '6.5-8.5')",,,,
https://bacdive.dsmz.de/strain/4151,"('Ref.: #23213', 'growth', '6.5-8.5')","('Ref.: #28922', 'growth', '3.5-9.5')",,,
https://bacdive.dsmz.de/strain/4167,"('Ref.: #23215', 'optimum', '8.5-9.0')",,,,
https://bacdive.dsmz.de/strain/4168,"('Ref.: #23216', 'growth', '6.5-7.5')",,,,
https://bacdive.dsmz.de/strain/4171,"('Ref.: #23218', 'growth', '6.25-7.65')",,,,
https://bacdive.dsmz.de/strain/4189,"('Ref.: #23219', 'growth', '3.8-6.5')",,,,
https://bacdive.dsmz.de/strain/4190,"('Ref.: #23219', 'growth', '4.5-7.0')",,,,
https://bacdive.dsmz.de/strain/4191,"('Ref.: #23220', 'growth', '4.5-7.0')",,,,
https://bacdive.dsmz.de/strain/4192,"('Ref.: #23221', 'growth', '5.4-7.0')",,,,
https://bacdive.dsmz.de/strain/4196,"('Ref.: #23223', 'growth', '6.5-8.8')",,,,
https://bacdive.dsmz.de/strain/4198,"('Ref.: #23224', 'optimum', '5.5-6.0')",,,,
https://bacdive.dsmz.de/strain/4199,"('Ref.: #23225', 'growth', '4.8-6.8')",,,,
https://bacdive.dsmz.de/strain/4200,"('Ref.: #23226', 'growth', '5.5-7.5')",,,,
https://bacdive.dsmz.de/strain/4203,"('Ref.: #23227', 'growth', '4.5-7.0')",,,,
https://bacdive.dsmz.de/strain/4205,"('Ref.: #23228', 'growth', '5.0-7.0')",,,,
https://bacdive.dsmz.de/strain/4238,"('Ref.: #23229', 'growth', '6.5-7.5')",,,,
https://bacdive.dsmz.de/strain/4210,"('Ref.: #23229', 'optimum', '7.0-7.3')","('Ref.: #23229', 'growth', '6.5-7.9')",,,
https://bacdive.dsmz.de/strain/26,"('Ref.: #23239', 'growth', '1.9-5.9')",,,,
https://bacdive.dsmz.de/strain/39,"('Ref.: #23242', 'optimum', '7.0-7.5')",,,,
https://bacdive.dsmz.de/strain/5387,"('Ref.: #23246', 'optimum', '7.08-8.5')",,,,
https://bacdive.dsmz.de/strain/67,"('Ref.: #23249', 'optimum', '4.5-5.0')",,,,
https://bacdive.dsmz.de/strain/71,"('Ref.: #23250', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/271,"('Ref.: #23258', 'growth', '5.7-8.0')","('Ref.: #25256', 'growth', '6.0-8.0')",,,
https://bacdive.dsmz.de/strain/288,"('Ref.: #23263', 'optimum', '8.7-9.0')",,,,
https://bacdive.dsmz.de/strain/295,"('Ref.: #23265', 'growth', '5.5-8.5')",,,,
https://bacdive.dsmz.de/strain/349,"('Ref.: #23268', 'optimum', '6.0-7.0')","('Ref.: #23268', 'growth', '5.0-8.5')",,,
https://bacdive.dsmz.de/strain/350,"('Ref.: #23269', 'optimum', '6.5-7.0')","('Ref.: #23269', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/351,"('Ref.: #23270', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/363,"('Ref.: #23277', 'optimum', '6.5-7.0')","('Ref.: #23277', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/364,"('Ref.: #23278', 'growth', '5.5-9.0')",,,,
https://bacdive.dsmz.de/strain/365,"('Ref.: #23279', 'optimum', '6.0-7.5')","('Ref.: #23279', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/447,"('Ref.: #23288', 'growth', '7.0-8.5')",,,,
https://bacdive.dsmz.de/strain/449,"('Ref.: #23289', 'optimum', '7.5-8.0')",,,,
https://bacdive.dsmz.de/strain/450,"('Ref.: #23290', 'optimum', '7.0-8.0')","('Ref.: #23290', 'growth', '6.0-8.5')",,,
https://bacdive.dsmz.de/strain/459,"('Ref.: #23292', 'growth', '5.5-9.5')",,,,
https://bacdive.dsmz.de/strain/465,"('Ref.: #23292', 'growth', '6.5-8.5')",,,,
https://bacdive.dsmz.de/strain/460,"('Ref.: #23293', 'growth', '5.3-9.3')",,,,
https://bacdive.dsmz.de/strain/483,"('Ref.: #23298', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/481,"('Ref.: #23298', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/1077,"('Ref.: #23299', 'growth', '5.6-5.7')",,,,
https://bacdive.dsmz.de/strain/1215,"('Ref.: #23312', 'maximum', '7.0-7.5')","('Ref.: #23312', 'minimum', '4.0-5.0')","('Ref.: #23312', 'optimum', '7.0-7.5')",,
https://bacdive.dsmz.de/strain/1217,"('Ref.: #23312', 'maximum', '9.0-9.5')","('Ref.: #23312', 'minimum', '4.0-5.0')","('Ref.: #23312', 'optimum', '7.0-8.0')",,
https://bacdive.dsmz.de/strain/1216,"('Ref.: #23312', 'minimum', '4.0-5.0')","('Ref.: #23312', 'optimum', '7.0-9.0')",,,
https://bacdive.dsmz.de/strain/1214,"('Ref.: #23312', 'minimum', '4.0-6.0')","('Ref.: #23312', 'optimum', '7.0-8.0')",,,
https://bacdive.dsmz.de/strain/1213,"('Ref.: #23312', 'minimum', '5.5-6.0')","('Ref.: #23312', 'optimum', '7.0-8.0')",,,
https://bacdive.dsmz.de/strain/1225,"('Ref.: #23314', 'optimum', '6.0-7.0')",,,,
https://bacdive.dsmz.de/strain/1224,"('Ref.: #23314', 'optimum', '6.0-8.0')",,,,
https://bacdive.dsmz.de/strain/1251,"('Ref.: #23318', 'maximum', '6.0-6.5')","('Ref.: #23318', 'minimum', '4.0-5.0')",,,
https://bacdive.dsmz.de/strain/1256,"('Ref.: #23319', 'maximum', '8.0-8.5')","('Ref.: #23319', 'minimum', '5.5-6.0')",,,
https://bacdive.dsmz.de/strain/1786,"('Ref.: #23322', 'optimum', '7.5-8.0')",,,,
https://bacdive.dsmz.de/strain/1787,"('Ref.: #23323', 'growth', '5.0-8.0')",,,,
https://bacdive.dsmz.de/strain/1829,"('Ref.: #23332', 'optimum', '7.0-8.0')","('Ref.: #23332', 'growth', '6.0-9.0')",,,
https://bacdive.dsmz.de/strain/1830,"('Ref.: #23333', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/12668,"('Ref.: #23333', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/1882,"('Ref.: #23335', 'optimum', '6.0-7.0')","('Ref.: #23335', 'growth', '3.0-9.0')",,,
https://bacdive.dsmz.de/strain/1887,"('Ref.: #23337', 'optimum', '6.0-7.0')","('Ref.: #23337', 'growth', '4.0-9.0')",,,
https://bacdive.dsmz.de/strain/1904,"('Ref.: #23349', 'optimum', '7.0-8.0')","('Ref.: #23349', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/142,"('Ref.: #23352', 'optimum', '5.0-5.5')",,,,
https://bacdive.dsmz.de/strain/1652,"('Ref.: #23363', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/1653,"('Ref.: #23363', 'optimum', '7.5-8.0')",,,,
https://bacdive.dsmz.de/strain/3987,"('Ref.: #23372', 'optimum', '7.0-7.4')",,,,
https://bacdive.dsmz.de/strain/3988,"('Ref.: #23372', 'optimum', '7.0-7.5')",,,,
https://bacdive.dsmz.de/strain/4029,"('Ref.: #23372', 'optimum', '7.2-7.9')",,,,
https://bacdive.dsmz.de/strain/4030,"('Ref.: #23372', 'optimum', '7.3-7.6')",,,,
https://bacdive.dsmz.de/strain/4147,"('Ref.: #23373', 'optimum', '5.8-6.2')","('Ref.: #23373', 'growth', '4.2-7.4')",,,
https://bacdive.dsmz.de/strain/4149,"('Ref.: #23373', 'optimum', '6.8-7.2')","('Ref.: #23373', 'growth', '5.4-8.4')",,,
https://bacdive.dsmz.de/strain/133131,"('Ref.: #24893', 'optimum', '8.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133134,"('Ref.: #24896', 'optimum', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/132633,"('Ref.: #24899', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133136,"('Ref.: #24901', 'optimum', '6.5-8.0')",,,,
https://bacdive.dsmz.de/strain/132635,"('Ref.: #24903', 'growth', '6.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133140,"('Ref.: #24906', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133002,"('Ref.: #24907', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133141,"('Ref.: #24909', 'growth', '5.0-8.0')",,,,
https://bacdive.dsmz.de/strain/132637,"('Ref.: #24911', 'optimum', '6.0-7.0')","('Ref.: #24911', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/133143,"('Ref.: #24912', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133147,"('Ref.: #24915', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133148,"('Ref.: #24916', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133003,"('Ref.: #24917', 'growth', '6.0-8.5')",,,,
https://bacdive.dsmz.de/strain/132639,"('Ref.: #24921', 'growth', '5.0-7.5')",,,,
https://bacdive.dsmz.de/strain/133153,"('Ref.: #24924', 'optimum', '7.0-8.0')","('Ref.: #24924', 'growth', '6.0-9.5')",,,
https://bacdive.dsmz.de/strain/2285,"('Ref.: #24925', 'growth', '6.0-9.6')",,,,
https://bacdive.dsmz.de/strain/132643,"('Ref.: #24926', 'optimum', '5.2-5.8')","('Ref.: #24926', 'growth', '5.0-8.0')",,,
https://bacdive.dsmz.de/strain/133157,"('Ref.: #24931', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/132647,"('Ref.: #24932', 'optimum', '6.5-7.0')","('Ref.: #24932', 'growth', '5.5-8.0')",,,
https://bacdive.dsmz.de/strain/133159,"('Ref.: #24934', 'optimum', '6.5-7.5')","('Ref.: #24934', 'growth', '6.3-9.0')",,,
https://bacdive.dsmz.de/strain/133160,"('Ref.: #24935', 'optimum', '7.0-8.0')","('Ref.: #24935', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/132642,"('Ref.: #24938', 'optimum', '6.5-7.0')","('Ref.: #24938', 'growth', '5.0-8.0')",,,
https://bacdive.dsmz.de/strain/133165,"('Ref.: #24940', 'optimum', '6.0-8.0')","('Ref.: #24940', 'optimum', '6.0-8.5')","('Ref.: #24940', 'growth', '5.0-9.5')",,
https://bacdive.dsmz.de/strain/133167,"('Ref.: #24941', 'optimum', '6.9-7.7')","('Ref.: #24941', 'growth', '6.1-8.8')",,,
